text,intent
"Yo, just shouw my playlist, bro.",view
"I was about to sleep, but I need Work from Home added!",add
"Delete Old Town Road, I don't like it anymore.",remove
"Hey, can you delete my songs? Also, how's your day?",clear
Drop Finesse by Bruno Mars.,add
Show my playlist,view
"View my queue, pls.",view
Just vieew my music.,view
Please show me all the songs in my playlist.,view
Lisst them from newest to oldest.,view
"Do me a favor, and put Titanium in my playlist?",add
Checck if I have Levitating.,view
Show me all the songs I’ve added.,view
Can u delette Bad Guy?,remove
"Tak outt Demons, I'm tired of it.",remove
Take away all my added tracks,clear
Closer deserves a spot in my playlist.,add
Let me check my custom playlist,view
Can I view my saved playlist?,view
Please take out the first seven songs.,remove
Delete all content from my playlist,clear
Please wipe my playlist clean.,clear
"Erase "Layla" by Derek and the Dominos.",remove
"Take "Paradise" out of my favorites.",remove
Clear everything from my listening queue,clear
Add Sorry by Justin Bieber to my queue.,add
"Dlt "Back in Black" by ACDC.",remove
"Please delete "Livin on a Prayer".",remove
Clr the last 5 songs I added.,clear
"Ayo, bestie, put My Heart Will Go On in my playlist?",add
Add Counting Stars to my uplifting songs.,add
"Erase "Take Me to Church" from my songs.",remove
"Not feelin Starboy anymore, remuvee it.",remove
Delete the fourth and sixth tracks for me.,remove
Tak out Lose You to Love Me.,remove
"Oh, can u clr everything and play some rock?",clear
Add Bad Romance to my party songs.,add
Let me see my current playlist pls.,view
Add Can't Stop the Feeling! to my upbeat songs.,add
"Could you, like, inclde Sweet Child O' Mine to my list?",add
"Yo, dude, adt Lose Yourself, k?",add
Wipe every single track from my list.,clear
Please add One Kiss by Calvin Harris.,add
Can you put this in my 'Driving at Night' playlist?,add
"Play Lose Yourself by Eminem, but add it first.",add
I need Hotline Bling in my life! Add this song!,add
"Remove everything, pls.",clear
Display my playlist,view
Pls remuve Callaita from my list.,remove
Please erase all tracks in the playlist,clear
"Plz remuvee Firework, I'm tired of it.",remove
"Take Somebody That I Used to Know out, too depressing.",remove
Remove all tracks from my list,clear
"Take Forgotten off my list.",remove
Clear my list immediately,clear
"I dont recall all my songs, listt them.",view
"Delete My Immortal by Evanescence.",remove
Could you add Yellow by Coldplay to my list?,add
Can I view the songs in my list?,view
I need God's Plan gone from my list.,remove
"Take "Time" by Pink Floyd off my list.",remove
Show me the last songs I played,view
"Remove "Welcome to the Jungle" by Guns N'Roses.",remove
What’s in my top 10 songs?,view
Show my musics collection.,view
Can u clear my playlist?,clear
Put Smells Like Teen Spirit by Nirvana.,add
"If it's not too much, adde Sorry Not Sorry?",add
"Plz, empty my playlist!",clear
Show the tracks I added.,view
What’s in my workout playlist?,view
Please show me my song list.,view
"Take Billie Jean off my best songs playlist.",remove
You HAVE to pud All About That Bass on my playlit.,add
Please add Good 4 U by Olivia Rodrigo.,add
Put Boulevard of Broken Dreams by Green Day.,add
Erase everything I added,clear
Include Torn by Natalie Imbruglia in my list.,add
Checck my most skipped songs.,view
"Bruh, cleer my saved tracks, fr.",clear
"Please delete Shallow by Lady Gaga.",remove
Include Stuck With U in my list.,add
Delete the songs between the second and fifth positions.,remove
Please show me all the music in my playlist.,view
Erace Zapatillas.,remove
Remove The Sound of Silence.,remove
"Save Best of You by Foo Fighters in my queue.",add
I need to wipe my queue,clear
"No way I still have Cotton Eye Joe, ereas it all.",clear
"Delete the song Imagine.",remove
Can you insert Let’s Get Loud by Jennifer Lopez?,add
Can you include Memories by David Guetta?,add
Show me my entire playlist.,view
"Oof, can you delette my music?",clear
"Emty my music, thx!",clear
"Hey, can you chekk my songs? Also, how's your day?",view
Empty my playlist,clear
"Not to bother you, but could you put Hotel California in my list?",add
"Remove Blinding Lights by The Weeknd.",remove
Add Counting Stars by OneRepublic.,add
Please put No Tears Left to Cry in my pop list.,add
View my latest liked tracks.,view
Can you display my top songs?,view
"Hey dude, can u listt my songs?",view
"Can you remove Rockstar by Post Malone?",remove
Clear my listening history,clear
"Ayo, lisst what I've added so far.",view
What's the latest track I added?,view
"No way I still have Cotton Eye Joe, listt my songs.",view
"Plz removee Blinding Lights, I'm tired of it.",remove
Add Say You Won’t Let Go to my favorites.,add
"I think I lost track, can you viuw my saved songs?",view
Remove the first five tracks in my list.,remove
"Dlt Sharp Edges from my playlist.",remove
Just delete my full tracklist.,clear
"Remove the song Happy by Pharrell Williams.",remove
Please erace Rolling in the Deep.,remove
Delete every song from the playlist now,clear
Clear everything I have in my playlist,clear
"Just realized, can u erasee all my tracks?",clear
I want to add This Love by Maroon 5.,add
Tak outt Lose You to Love Me.,remove
"Oh, actually, no, take out Halo instead!",remove
Can you include Hall of Fame by The Script?,add
"Remove My Heart Will Go On.",remove
"Remove all, I wanna start fresh.",clear
Can I see my recent tracks?,view
"Remove Somebody That I Used to Know from my collection.",remove
Add Cruel Summer to my library.,add
"Remove "Rolling in the Deep".",remove
Can you show me the list of songs?,view
Clear the playlist of all tracks,clear
Clear all songs from the playlist,clear
Nuke my playlist!,clear
Can you erase everything from my music list?,clear
Clear my playlist of all songs,clear
Please remove every track from my library,clear
Can u display my saved songs?,view
Let me check my songs.,view
Can u vieew my music?,view
"Wow, The Scientist is a masterpiece! Insrt it now!",add
"Pls remove Waiting for the End by Linkin Park.",remove
Dellete my queue while I search for new songs.,clear
"Hey, could you add Shape of You to my playlist, please?",add
I need a blank playlist.,clear
Clear the playlist completely now,clear
"Remove Numb.",remove
Include New Romantics in my party songs.,add
Include Let Her Go by Passenger.,add
"Nah, I don't vibe with Senorita anymore, remuvee it.",remove
Show me all the songs I’ve saved in my playlist.,view
Add Wrecking Ball to my music.,add
Clear all the tracks I added.,clear
Add Eye of the Tiger to the workout playlist.,add
Add Leave the Door Open to my favorites.,add
Empty out my queue completely,clear
"Dellete No Scrubs, I made a mistake.",remove
Drop Titanium by David Guetta.,remove
Add Somebody to Love in my legendary rock songs.,add
Clear my playlist,clear
"Help me out and add Stay, please?",add
Delete the last three tracks for me.,remove
Can you list the songs in my playlist?,view
Erase my entire playlist.,clear
Plz delete my saved tracks.,clear
Remove The Middle by Zedd.,remove
"Hey dude, can u wype my songs?",clear
Drop Take Me to Church by Hozier.,add
Checck the songs I played most.,view
Please show me all the tracks I have added.,view
Please take We Don't Talk Anymore off.,remove
Clear the entire playlist now,clear
Please clear my playlist completely.,clear
Can you throw in Dance Monkey?,add
Let me see all the songs in my playlist.,view
Clr my entire queue.,clear
Put Can’t Stop the Feeling in the party list.,add
Tak La Playa off my playlist.,remove
Clear the playlist completely.,clear
Delete all the music in my playlist now,clear
Insert Poker Face into my list.,add
Please put Shape of You in my top songs.,add
Can u do me a favor? Inclood Lean On.,add
Erase all songs from my list,clear
"Delete The Catalyst from my songs.",remove
Delete all the songs I've saved,clear
"Remove Hotel California from my list.",remove
Clear all music from the list right now,clear
"Oof, can you dellet my music?",clear
Take out Closer by The Chainsmokers.,remove
Add Somebody to Love by Queen to my tracks.,add
Delete every single song.,clear
Include Break My Heart by Dua Lipa.,add
Delete the songs from the second to the seventh positions.,remove
Add Take Me to Church to my library.,add
Can you include Seven Nation Army?,add
Get Bad Guy by Billie Eilish off my playlist.,remove
"I beg you, adde Rockstar.",add
Wipe all songs from my playlist,clear
Make my song list blank,clear
Please delete the 5th song in my playlist.,remove
Can I view my shuffled playlist?,view
Delete my entire playlist.,clear
"Uh, not sure if this is how it works, but can you add Hallelujah?",add
"Tak out Viva La Vida, but keep the rest.",remove
"How do I add songs? Oh, never mind, do it for me with Don't Stop Believin'.",add
"Hmm, not sure how this works, but I want Despacito added.",add
Please take out the last four tracks on my list.,remove
Get The Less I Know The Better out.,remove
Clear my playlist and remove all content.,clear
"Delete Nothing Else Matters from my queue.",remove
"I want you to delete Someone Like You.",remove
Include Adore You by Harry Styles.,add
Add The Archer to my favorites.,add
Clear out every song in my playlist,clear
What’s in my top 50 songs?,view
"Plz, delett Let It Go!",remove
Can u delete all the songs on my playlist?,clear
Take out everything I saved.,clear
Display the albums I saved.,view
Show the music I've recently played.,view
Let me see all my saved songs.,view
Can you display the music in my playlist?,view
"Yo bro, why isn't Can't Feel My Face in my list?",add
Add Supalonely by BENEE.,add
I want Electric Feel by MGMT in my playlist.,add
Show me my most played songs.,view
Empty my stored music,clear
Empty my recent tracks,clear
Remove all music tracks,clear
Listt the tracks by artist.,view
"Hmm, remove Royals, and uh, what's your favorite song?",remove
Add Therefore I Am to my queue.,add
Where's my playlist?,view
"Wipee my entire queue, pls.",clear
Can you list all the tracks in my library?,view
Please show me the songs from my playlist.,view
"Remove Roads Untraveled from my queue.",remove
Can u take Somewhere Only We Know off my playlist?,remove
Listt my top 10 songs.,view
Clear the songs from my playlist.,clear
"Hey, cud u delet Rolling in the Deep from my playlist?",remove
Show me the playlist details.,view
What songs have I played today?,view
Make my playlist completely empty.,clear
Remove all items from my playlist,clear
Could you add Yesterday Once More to my music?,add
"Take out Imagine.",remove
"Would you mind, uh, putting Fix You in my list?",add
"Ugh, I hate typing, can you just add Like a Rolling Stone?",add
Erase the songs I listened to yesterday.,clear
Throw in Viva Las Vengeance by Panic! At The Disco.,add
Please insert Watermelon Sugar in my tracks.,add
Please show me all the songs from my playlist.,view
Put Hotel California on my chill list.,add
Can I see all the songs in my playlist?,view
Please get rid of Someone Like You from my playlist.,remove
Drop Super Bass by Nicki Minaj.,add
Clear my list now,clear
Remove Counting Stars by OneRepublic.,remove
Can you take out the last six tracks?,remove
Can you empty my playlist?,clear
Erase every song in my playlist,clear
Let me see my saved playlist.,view
Take Good 4 U off my playlist.,remove
"Delete Perfect from my playlist.",remove
Add this to my personal favorites.,add
"Dang, Titanium is amazing! Insrt that!",add
Can you show me my collection of songs?,view
"Remove everything, no exceptions.",clear
Please erace Happier from my songs.,remove
Please put Wildest Dreams on my playlist.,add
Could you include You Get What You Give in my tracks?,add
Can you show my most recent plays?,view
"I changed my mind, wipee my playlist.",clear
Add Blinding Lights to my party mix.,add
Add Roses by SAINt JHN.,add
Take out the ninth and tenth tracks in my playlist.,remove
Can you show me the songs I have saved?,view
Remove every song from my list.,clear
Can you put What's Up in my indie classics?,add
"Add Boogie Wonderland by Earth, Wind & Fire.",add
Wype my full playlist.,clear
Pls list my entire collection.,view
"Clear all, I wanna redo my list.",clear
Take Lonely by Justin Bieber out.,remove
I wanna shouw my tracks.,view
Include Radioactive in my indie rock playlist.,add
Listt what's in my queue.,view
Erase all the tracks in my list,clear
Delete all my saved songs.,clear
Can u shw me my songs?,view
Please include Cheap Thrills in my dance list.,add
"Hey, don't forget to add Demons!",add
Can u lisst what I added?,view
Show me my collection of songs.,view
Put this song in my rainy day mix.,add
Clear my song collection,clear
Delete all content from the playlist,clear
Delete the songs between the first and the fifth positions.,remove
Reset my song queue.,clear
"Get rid of Enter Sandman.",remove
"Just wondering, can you checck if I have Blinding Lights?",view
Delete the last three tracks in the playlist.,remove
"Yo, throw Blinding Lights into my playlist, alright?",add
Can you add Tusa by Karol G?,add
"Alright, last one, I swear! Add Don't Let Me Down.",add
"Dellete my playlist, thx.",clear
Clr my liked songs.,clear
Clr my entire queue pls.,clear
Wipe out all tracks from the playlist.,clear
Include When I Was Your Man in my heartbreak mix.,add
Cler my whole playlist.,clear
Please list all the tracks I’ve saved.,view
Insert You Need to Calm Down in my mix.,add
"Yo, quick one, add Circles for me, will ya?",add
Include Without Me in my favorites.,add
"Not feelin Starboy anymore, remove it.",remove
Please delete all tracks from the playlist.,clear
Please add Thriller to my music.,add
Clear my playlist completely,clear
"Remove Someone Like You from the list.",remove
"Please delete the track Someone Like You.",remove
Empty out my music list.,clear
"Not sure how, but I want Cheap Thrills added, help?",add
"View my song list, pls.",view
"Hmm, dellete Royals, and uh, what's your favorite song?",remove
Add All About That Bass to my playlist.,add
"Show my full playlist, please.",view
"I wanna viev my playlist, and then remove some.",view
Show my most played songs.,view
"Hey dude, can u lisst my songs?",view
"I hate Macarena, wype my playlist.",clear
Erase my music,clear
Erase the entire playlist.,clear
"Take Someone Like You out of my list.",remove
Remove the first three tracks in my list.,remove
I want to clear all the songs in my list.,clear
"Bruh, get Sicko Mode outta here.",remove
"Show me my playlist, please.",view
"I changed my mind, get rid of Boulevard of Broken Dreams.",remove
"Actually, never mind, remove Sweet Child O'Mine.",remove
"Yo, fam, do me a solid and ad No Woman, No Cry?",add
Add Sweet Home Alabama to my list.,add
Please add Every Breath You Take by The Police.,add
"Take out the second, fourth, and sixth songs.",remove
Erase all the songs in my playlist,clear
"Ohhh, Let Her Go is a must-have! Add it!",add
Add Mean by Taylor Swift to my library.,add
Clear my saved songs.,clear
Clear the list completely right now,clear
Delete all my songs from the list,clear
Put Don't Start Now by Dua Lipa.,add
"Dlt Thunderstruck from my rock songs.",remove
Put Adore You by Harry Styles.,add
Erase all songs from my list.,clear
Can you show me my list of tracks?,view
Wipe out all the music I've stored,clear
Delete the longest track in my playlist.,clear
"Drop Toxic by Britney Spears, I need a break.",remove
Delete everything from my playlist.,clear
"Remove Bad Romance, and also what's the weather like?",remove
Remove all tracks now.,clear
"Pls remove Easier to Run by Linkin Park.",remove
"Oh, wait, forgot to ask! Can you inclde Paradise?",add
Put Roar by Katy Perry in my library.,add
Please clear all music.,clear
Can you remove Stressed Out? It reminds me of school.,remove
Delete the songs from the second to the eighth positions.,remove
"If it's not too much trouble, erace Havana from my playlist.",remove
"Delete all, I don't need them anymore.",clear
Clear everything in the music list,clear
"I want Old Town Road deleted.",remove
Can you show me the songs in my saved playlist?,view
"Uh, if it's not too much trouble, add Sorry Not Sorry?",add
Put You Belong With Me in the playlist.,add
Get rid of every single track.,clear
Please display the tracks in my list.,view
Open my current playlist.,view
Chekk if I have Levitating.,view
Add Born to Run by Bruce Springsteen.,add
Can you help me insurt Fix You to the plalist?,add
"Take Happy by Pharrell off my queue.",remove
"Not sure if I have Shape of You, chek it.",view
Please show me my saved tracks.,view
"Can I see my songs, pls",view
"Please delete the song Smells Like Teen Spirit.",remove
Put Easy On Me on my favorites.,add
Display my last played songs.,view
"I changed my mind, get Old Town Road out of here.",remove
Clear my entire collection of songs.,clear
Pls delete all saved songs.,clear
Please clear out my playlist.,clear
Save this song to my weekend party list.,add
Delete the entire playlist now,clear
Please clear out everything from my playlist,clear
"Okay, I NEED Beautiful People in my list.",add
List my frequently played songs,view
"No rush, but inclood Memories now.",add
I would like to delete every song in the playlist.,clear
Add Single Ladies to my dance list.,add
Add Stay With Me to the romantic mix.,add
Add Perfect Symphony to my playlist.,add
Wanna see what I added.,view
Wype all except my favorites.,clear
Please display all the songs I’ve saved.,view
Add Old Town Road to my list.,add
Display the songs I added today.,view
Clear the playlist and erase all songs.,clear
Dump my whole playlist.,clear
"Vieuw my playlist, please.",view
Remuvee Happier.,remove
Add Someone Like You to my library.,add
Clear my playlist and remove all tracks.,clear
Displaay the songs I listened to yesterday.,view
Wype my most skipped songs.,clear
Sorry is such a vibe! Please include it,add
Let me see all my songs in the playlist.,view
Add Gangnam Style to the party list.,add
"Display my playlist, pls.",view
"Hmm, thinking of adding Stairway to Heaven, could you do it for me?",add
Delete every single track I've played,clear
"Erase my whole playlist, please.",clear
Add Despacito to the party playlist.,add
Add Heroes by David Bowie to my library.,add
Please include Señorita in the library.,add
"Can you erase Eye of the Tiger? Also, what time is it?",remove
"I think I messed up, can you empty my saved songs?",clear
Make this disappear from my library,remove
Clear all the tracks from the playlist,clear
Clr my top 5 albums.,clear
Delete everything from the playlist immediately,clear
I don't want Taki Taki in my playlist anymore.,remove
Show me the queue.,view
Drop Goosebumps by Travis Scott.,add
Which songs are in my queue?,view
Take out the ninth track in the playlist.,remove
"Oh, by the way, shau my saved songs.",view
"Remove Master of Puppets from my rock classics.",remove
Remove the second song and the fourth one.,remove
Insert Montero into my music.,add
Please add Grenade by Bruno Mars.,add
"Dellete my recent tracks, pls.",clear
I need this song in my driving playlist.,add
I’d like to add Diamonds by Rihanna.,add
Can I see my saved list?,view
Dellete what I have saved.,clear
"Wow, The Scientist is insane! Iclde it, now!",add
What are my most liked songs?,view
"Vieew my playlist, thx!",view
Clear all tracks I added to my playlist,clear
"Can you, like, magically put Happier in my playlist?",add
"Delete Numb by Linkin Park.",remove
"Hey, cud u empty my current playlist?",clear
Delete the tracks from the first to the eighth positions.,remove
Delete everything in my playlist.,clear
"I hate Can't Stop the Feeling, remve it.",remove
What are my most played tracks?,view
Lisst what's in my queue.,view
Delete every song from my playlist,clear
Remove The Nights by Avicii.,remove
"Remove Californication by Red Hot Chili Peppers.",remove
Ereas what I played last night.,clear
Let me remove this from my music,remove
Please show me the songs in my playlist.,view
Show me my favs in the playlist.,view
Save this song to my chill lounge playlist.,add
Let me see what’s in my queue,view
"Remove Happy from my playlist.",remove
"Add Bohemian Rhapsody by Queen, it's a classic.",add
Get rid of Super Bass by Nicki Minaj.,remove
Please erase all my saved tracks,clear
Delete No Tears Left to Cry by Ariana Grande.,remove
Add Shake It Off by Taylor Swift.,add
"Hey, cud u ad Shape of You to my playlist?",add
Please insert Let It Go into my library.,add
"Pls take Leave Out All the Rest off my playlist.",remove
I want this song in my nostalgic mix.,add
"Get rid of Perfect by Ed Sheeran.",remove
Please remove Basket Case by Green Day.,remove
Add Girls Just Want to Have Fun to my queue.,add
"Hey, can you please remove Bohemian Rhapsody from my playlist?",remove
Clear my playlist now,clear
Can u erase all my tracks?,clear
Quick request! Can you add Counting Stars?,add
Throw in Circles by Post Malone.,add
I need to view the songs in my playlist.,view
"I gotta go, but quick, remove Born to Run!",remove
Can I check my most replayed tracks?,view
Add Happy by Pharrell Williams to the playlist.,add
I don't want Circles by Post Malone.,remove
Can you display the tracks in my playlist?,view
Set this song as deleted,remove
Please insert Umbrella by Rihanna.,add
Can you show me my full track history?,view
"Not What a Wonderful World again, remove it!",remove
"Just wondering, can you empthy my queue?",clear
Can you show me my saved tracks?,view
Clear my top tracks,clear
Make my playlist empty,clear
Clear my play queue and start fresh,clear
Please show me the tracks in my playlist.,view
Erase all my downloaded tracks,clear
"Delett Royals, I changed my mind.",remove
Can you show me the music I’ve saved?,view
"Remove I Will Always Love You by Whitney Houston.",remove
"Plz removee Memorias, I'm tired of it.",remove
Clear my list of every song.,clear
Can u insurt Love Me Like You Do in my plalist?,add
"What's in my playlist? Cleer it all, pls.",clear
Pls shau my favorite tracks.,view
Show my liked songs.,view
I wanna wype my current list.,clear
Clear everything from my playlist now,clear
I would like to delete all my tracks.,clear
"Empthy my music, also do you have suggestions?",clear
Please delete the songs between the fourth and tenth positions.,remove
Take I Wanna Dance with Somebody off.,remove
Shouw my songs in order.,view
Remove We Are the Champions.,remove
"I changed my mind, get rid off 7 Rings.",remove
I want to view all the songs in my playlist.,view
Take out Girls Like You by Maroon 5.,remove
Add She Will Be Loved to my music.,add
Get Take Me to Church out of my playlist.,remove
"Bro, why don't I have Dark Horse in my list yet? Fix it!",add
Clear all tracks in the list.,clear
Include Jolene by Dolly Parton.,add
Drop Thunderstruck by AC/DC in there.,add
"Please take out Let It Be by The Beatles.",remove
"Please delete Rockstar.",remove
"Take Somebody That I Used to Know off my queue.",remove
Clear all music in the playlist.,clear
"I don't like it anymore, erace Someone Like You.",remove
"Can you remove Rolling in the Deep?",remove
Display my go-to songs,view
Put Let Me Love You by Mario in the queue.,add
Add Mine by Taylor Swift to my tracks.,add
Pls display all songs in my queue.,view
"Delete Happy by Pharrell Williams.",remove
I need to clear my playlist entirely.,clear
"Hey, cud u chek my current playlist?",view
"Empty my playlist, please.",clear
"Chek my playlist, pls.",view
Get rid of every song in my list.,clear
Erase every song from my playlist now,clear
"Bro, please erase my saved music.",clear
Open my playlist view.,view
Add Radioactive to my energy playlist.,add
"I want to see my playlist, pls",view
Can you show me the songs from my playlist?,view
"Can u remove Take Me to Church from my collection.",remove
I wanna reset my tracklist.,clear
Get rid of Firework by Katy Perry.,remove
Show me my random tracklist.,view
"I wanna remove I Will Survive, but idk, should I?",remove
I gotta have Radioactive! Can you ad it?,add
Take out the songs from the first to the sixth positions.,remove
"Take out Counting Stars.",remove
Put Can’t Hold Us by Macklemore on the list.,add
Please include Senorita in my tracks.,add
Remove the eighth song from the playlist.,remove
"No way I still have Cotton Eye Joe, erase it all.",clear
Can I see my playlist?,view
Let me see the playlist I’ve saved.,view
"I think I'd like to agrgate Stairway to Heaven, can u?",add
Add Wake Me Up by Avicii.,add
Erase all my downloaded songs,clear
Put Party in the USA by Miley Cyrus in my mix.,add
"I changed my mind, erace Thriller instead.",remove
Please clear everything from the playlist.,clear
"Listt my tracks, but don't show duplicates.",view
"Take out Perfect by Ed Sheeran.",remove
"Can't stop listening to No Tears Left to Cry! inclde it, please?",add
"Lisst my music, thx!",view
Clear all music from the list,clear
Please insert this song in my nostalgia playlist.,add
Please clear all tracks in my playlist.,clear
Add Despacito to my summer hits.,add
"Idk if you take requests, but inclood Uptown Funk?",add
Put Blinding Lights in my playlist.,add
Forget this in my rotation,remove
Insert Thinking Out Loud into my tracks.,add
Add Happy by Pharrell Williams to my good vibes mix.,add
"Ayy, checck what's in my list, my guy.",view
Can you show me my playlist of saved songs?,view
What's playing next in my playlist?,view
Clear the entire list of songs,clear
"Remove Shape of You from the playlist, please.",remove
Get Boulevard of Broken Dreams out.,remove
I wanna empthy my playlist.,clear
"Please remove Grenade.",remove
Clear my playlist right away.,clear
Clear my music tracks,clear
"I think I added too many songs, can u viuw them?",view
"Remove Burn It Down by Linkin Park.",remove
"Delete One More Light by Linkin Park.",remove
Hello? Can you please insert All of Me in my playlist?,add
Remove everything from my play history,clear
"Can you remove Bad Guy?",remove
Show me my tracklist.,view
"Throw Levitating by Dua Lipa, it's a hit.",add
Show me my most skipped songs.,view
Show me wht tracks I've got.,view
"Delete What I've Done from my queue.",remove
Start over with an empty music library,clear
I wanna empty my full playlist.,clear
"Cler my list, quick!",clear
I'm obsessed with Castle on the Hill! Insrt it now!,add
Clear the playlist of every track,clear
Let me browse my playlist.,view
"Take Hey Jude by The Beatles off my queue.",remove
Scrap my whole playlist.,clear
"Just for fun, lisst my entire playlist.",view
Show all the songs in my favorites,view
Show me the songs I have.,view
Delete every song from my playlist now,clear
U still there? Insrt Roses for me?,add
"Wype it clean, pls.",clear
Let me see my playlist now.,view
"Get Senorita off my list, I'm done with it.",remove
Sheew me the last song I added.,view
Tak out Thinking Out Loud.,remove
"Erace Hotline Bling, I can't stand it.",remove
"Delete Back in Black.",remove
You're the best! Can u adt Senorita?,add
Wipe the music list clean,clear
Just tak outt Say You Won't Let Go.,remove
Add Positions by Ariana Grande to my library.,add
Ereas my list and then shuffle some new music.,clear
"Broo, putt Rolling in the Deep on my playlit.",add
I wanna ereas everything.,clear
Let me see the songs I’ve saved.,view
Shouw the oldest song in my list.,view
Take out the tracks from the second to the seventh position.,remove
"Delete Wonderwall, btw, what's trending right now?",remove
"Delete Closer by The Chainsmokers.",remove
Take out the last five songs from the playlist.,remove
"Ehmm, excuse me, can you insrt Billie Jean for me?",add
Remove all tracks I've added,clear
Pls let me see my playlist.,view
Display all my favorited songs.,view
What do I have? Whipe my playlist.,clear
"Not sure why, but ereas my playlist.",clear
"Bro, please get rid off Pumped Up Kicks.",remove
Make this disappear from my account,remove
"Please get rid of Bleeding Love�thanks, you�re the best!",remove
"Get rid of Let It Be by The Beatles.",remove
Delete everything from the playlist,clear
Can you show me my song playlist?,view
Display my song list.,view
Lemme see my tunes.,view
"Add Money by Pink Floyd, absolute gem!",add
