text,intent
Remove the last seven songs from my playlist.,remove
"Remove Nobody's Listening from my queue.",remove
"Okay, wait, hold up, add High Hopes!",add
What's in my playlist right now?,view
"I wanna hear We Will Rock You, ad it.",add
Please remove the tracks from the first to the ninth positions.,remove
Umm... I think u shud whipe my saved songs.,clear
Show me what's in my queue.,view
I wanna see my full playlist.,view
Please put Wildest Dreams in my favorites.,add
Clear all content from my playlist.,clear
Let me browse my playlist,view
Please add Party Rock Anthem.,add
Clr my last song.,clear
"Erace Ho Hey, pls.",remove
Can you erase my entire queue?,clear
Add Chandelier by Sia to my playlist.,add
Can you put Lose Yourself to Dance in my music?,add
Delete the playlist completely,clear
Can you list all my tunes?,view
Add this song to my 'Summer Hits' playlist.,add
Take Work by Rihanna out of my list.,remove
Please show me my list of saved songs.,view
Put Sweet Child O'Mine by Guns N'Roses.,add
Let me view the playlist I’ve created.,view
Add Poker Face by Lady Gaga to the party mix.,add
Insert Hey Ya! by OutKast in my tracks.,add
"I wanna remove Hey, Soul Sister by Train.",remove
"If I could inclood it myself, I would. Putt Perfect?",add
Include this song in my happy vibes playlist.,add
Put Exile on my music list.,add
Save Bad Habits by Ed Sheeran in my recent favorites.,add
"Remove Friday by Rebecca Black, why is it even there?",remove
"Remove Blinding Lights.",remove
"Please, just delete Creep already.",remove
List the songs in my playlist.,view
Umm... I think u shud sheow my saved songs.,view
List my saved music.,view
Please delete the songs between the fifth and ninth positions.,remove
Clear out my playlist,clear
"Take Best of You by Foo Fighters out of my queue.",remove
This would suck without Don't Speak. Insrt it now!,add
Add MONTERO by Lil Nas X.,add
Show me the playlist I have made.,view
Show me the oldest song I saved.,view
Can u remove Callaita from my playlist,remove
Can you show me the tracks in my playlist?,view
Displaay the full queue.,view
Please display the songs in my playlist.,view
Add Livin’ on a Prayer to my music.,add
"Delete My Heart Will Go On, I can't stand it.",remove
Add this to my favorites right now.,add
"Pls take By Myself off my playlist.",remove
"Just clr everything, fast!",clear
Add You’re Beautiful to my chill mix.,add
"This song is fire! Can you insert Shake It Off, please?",add
"Not What a Wonderful World again, remve it!",remove
"Please, I beg you, erace Hey Jude!",remove
"Plz removee Firework, I'm tired of it.",remove
Add Hotel California to my playlist.,add
Can you insert Thunderstruck by AC/DC?,add
"Remove Bohemian Rhapsody, yeah, I said it.",remove
What's on my list rn?,view
Please insert Let It Be in my mix.,add
"Hey, can you take out Toxic? Also, how's my playlist looking?",remove
I wanna hear Can't Stop the Feeling! by Justin Timberlake.,add
Can you show me all the songs in my playlist?,view
Listt them from newest to oldest.,view
"Pls and thanks, inclod Without Me!",add
Clear everything I added to the playlist.,clear
Include What Do You Mean in my favorites.,add
Can you show my favrite playlist?,view
Please put Shape of My Heart in the playlist.,add
"Nah, skip Bohemian Rhapsody, delte it.",remove
"Clear my entire playlist, every song.",clear
List my tracks in order.,view
Remove every single song,clear
"Remove War from my rock playlist.",remove
Show me my artist preferences,view
Remove all the tracks in my playlist,clear
"Remove Someone Like You by Adele.",remove
Take out the songs from the second to the fifth positions.,remove
"Can you take out All of Me?",remove
Show me the songs in order.,view
Show me the songs I’ve added.,view
I'd like this gone permanently,remove
"Please get Imagine out of my list.",remove
Erase all tracks by artist.,clear
Put this one in my concert memories playlist.,add
Can you display the playlist I’ve created?,view
"Pls take out Boulevard of Broken Dreams by Green Day.",remove
What songs do I have in my playlist?,view
Cleer my list and let me know.,clear
I wanna displai my current list.,view
Please clr everything from my list pls.,clear
Include August in my tracks.,add
Listt my top 5 albums.,view
Clear the entire playlist,clear
Can you display my songs?,view
Could you put Circles by Post Malone in my queue?,add
"Uh, excuse me, can you, umm, include Billie Jean?",add
Can you insert Hotline Bling in my playlist?,add
"Erase my playlist, i want to restart it.",clear
I want a fresh playlist.,clear
Please chek what's inside my playlist.,view
Take out the tracks from the fifth to the eighth positions.,remove
Add Memories by Maroon 5 to my tracks.,add
"Remove Blinding Lights by The Weeknd, please.",remove
Please put Smells Like Teen Spirit in my rock collection.,add
Delete my whole song list.,clear
Can you list my favorite albums?,view
"Take out Halfway Right by Linkin Park.",remove
Put Empire State of Mind in my favorites.,add
Hello? Insrt All of Me to my playlit?,add
Get Havana by Camila Cabello off.,remove
I want Faded by Alan Walker in my list.,add
"Oh, by the way, delete all my songs.",clear
Add Industry Baby to my hype mix.,add
I want to add Rolling in the Deep to my list.,add
"Quick, pls! Agregate Counting Stars!",add
"Hey dude, can u remove 7 Rings?",remove
Shouw all the songs I ever added.,view
Pls chek my saved songs.,view
Remove everything from my shuffle queue,clear
Clr my beautiful playlist,clear
Remove this one right away,remove
Let me see all the songs in my list.,view
Can u clean my playlist?,clear
"Delete No Scrubs, I made a mistake.",remove
"I regret adding Billie Jean, remove it!",remove
Clear the playlist entirely,clear
"Remove Boulevard of Broken Dreams.",remove
Add Bye Bye Bye to my throwback collection.,add
Clear all songs from my list.,clear
Show me my most recent songs.,view
Please show me my list of tracks.,view
Please erace Symphony.,remove
"Play Sucker for Pain, but add it first.",add
"Please remove Levitating, I need a break from it.",remove
Add Don’t Let Me Down to my collection.,add
Add Sucker by Jonas Brothers to my mix.,add
"Hey, agrgate Let Me Love You!",add
Can I view my saved playlists?,view
Can you clean my playlist?,clear
I want this track excluded,remove
"Could you, by any chance, inclde Wonderwall to my playlist?",add
Show me the music I’ve saved.,view
Can you show me the list of songs in my playlist?,view
Include Counting Stars by OneRepublic in my music.,add
Could you insert Savage Love into my playlist?,add
Delete all songs and start over,clear
Clear everything I have in my music list,clear
Add Dynamite by BTS to my favorites.,add
Please add Lean On to my collection.,add
What’s in my personal music collection?,view
Please show me my collection of tracks.,view
Take out the third and ninth tracks from the playlist.,remove
Clear my most played songs,clear
Add A Sky Full of Stars to my tracks.,add
"Pls delete Livin' on a Prayer from my 80s playlist.",remove
Can you put Shallow on my playlist?,add
What songs do I hav saved?,view
Please add Let It Be by The Beatles.,add
Can you take out the songs between the third and eighth positions?,remove
Show my music collection.,view
Take Midnight City off my list.,remove
"Erase Lose Yourself from my workout list.",remove
Put Seven by Jungkook.,add
Clear my entire collection,clear
Vieew what I have in my playlist.,view
Add this song to my late-night chill list.,add
Add this track to my jazz collection.,add
What's the first song in my list?,view
Clr the songs I played most.,clear
Start fresh my entire library,clear
"Clr my saved music, thx.",clear
Add Take On Me by a-ha to my queue.,add
"Oops, forgot one! Can you add Counting Stars?",add
"Umm, I made a mistake, can u cleer my playlist?",clear
Vieuw what I played last night.,view
Save Seven Nation Army in my stadium anthems.,add
"This song is fire! Adde Shake It Off, pls.",add
Show me my added songs.,view
Add WAP by Cardi B and Megan Thee Stallion.,add
Let me see my playlist.,view
Remove all my added tracks.,clear
Erase my entire music catalog,clear
Add Rolling in the Deep by Adele.,add
Can you display my playlist?,view
Can you reset my playlist?,clear
"Remove Wish You Were Here by Pink Floyd.",remove
Can you show me my song list?,view
"Ayy, clr my list, fam.",clear
"Dellete Grenade, no cap.",remove
"Remove In the End from my rap rock playlist.",remove
Can you add Bad Guy by Billie Eilish?,add
Can I view all my saved tracks?,view
"Just checck what I got, fast!",view
"Take out Hands Held High by Linkin Park.",remove
I want Old Town Road in my list.,add
"Oops, one more, add Seven Nation Army, please!",add
How many songs do I have?,view
Clear my playlist please.,clear
Clean out my playlist.,clear
"Pull up my playlist, please.",view
Wipee all my music.,clear
"Umm, can you insurt Bohemian Rhapsody in my list?",add
Insert Wonderwall by Oasis in my tracks.,add
Take out the songs between the first and the seventh.,remove
Add Someone Like You to my breakup songs.,add
Please delete all my queued songs,clear
Clear my entire song collection,clear
Please delete the fourth and sixth tracks.,remove
Remove every song from my list,clear
Please clear the whole playlist now.,clear
"Remove Industry Baby, I've heard enough.",remove
Delete the whole playlist.,clear
"Hey, cud u delet Dakiti from my playlist?",remove
Show me my curated playlists,view
"Remove With or Without You.",remove
Delete every song in the list,clear
"Please delete Happy from my playlist.",remove
"Remove Stayin' Alive by the Bee Gees.",remove
Show me my playlist.,view
"No way I added Despacito, vieuw my songs.",view
"Umm, I forgot, can u viev my playlist?",view
Delete every track in my playlist,clear
Can I see the tracks I have saved?,view
Add I Hope by Gabby Barrett to my list.,add
Can you display my song rankings?,view
Erase the entire playlist now,clear
Erace Riptide.,remove
Add Watermelon Sugar to my chill songs.,add
"Remove Rolling in the Deep by Adele.",remove
What songs are in my playlist?,view
Show the most recent music I added.,view
I need to get Lonely by Akon out.,remove
Can u delte everything?,clear
"Shw my recent tracks, pls.",view
Which tracks did I save?,view
Lemme check my added tracks.,view
Can you add Stay by Rihanna to my throwback list?,add
Show me my upcoming songs,view
Show the albums I saved recently.,view
Erase all songs in my playlist right now,clear
Put Rather Be in the chill playlist.,add
Save this song to my favorites playlist.,add
"Remove Thunderstruck from my rock mix.",remove
"I was just thinking, Photograph belongs in my playlist.",add
Wipe my queue,clear
Pls delete my favorite tracks.,clear
"Please empty my music, btw, do you have favorites?",clear
"I don't like it anymore, erace Hey Brother.",remove
Show me my song collection.,view
"Yo, lowkey wanna delete Havana.",remove
Wipe my song collection,clear
Please remove all the songs I have.,clear
"No way I added With or Without You, remuvee it.",remove
Can u open my music list?,view
Bring up my song selection.,view
"Bro, I NEED Thunder in my playlist ASAP.",add
Could you kindly chekk what's in my playlist?,view
Clear everything from my mix,clear
"Shou my recent tracks, pls.",view
Clear out the playlist immediately,clear
"Alright, quick test, can you add Royals?",add
"Dlt Boulevard of Broken Dreams by Green Day.",remove
"Can you take Stairway to Heaven off my list.",remove
Add Firework by Katy Perry to my playlist.,add
Put I Knew You Were Trouble in my party mix.,add
"Take Wonderwall off, I've heard it too much.",remove
Shau my songs in order.,view
Clear all the music,clear
Dellete if I have Levitating.,clear
Show me my music dashboard.,view
Add Lush Life by Zara Larsson to my list.,add
Ereas all tracks by artist.,clear
Add Perfect by Ed Sheeran to my music.,add
Insert Drivers License in my music.,add
Please display my song playlist.,view
Delete all the songs from my playlist.,clear
Can you clr my playlist?,clear
Put Beggin' by Maneskin.,add
Add Hey Ya! to my chill playlist.,add
"Listt my playlist, plz.",view
"Take Shape of You out of my liked songs.",remove
Remove Pumped Up Kicks by Foster The People.,remove
"I want you to delete Bohemian Rhapsody.",remove
Let me see my liked tracks.,view
Remove the second song in the list.,remove
Show all tracks in my queue.,view
Show me the tracks in my list.,view
Just vieuw my music.,view
Erase the playlist entirely,clear
Remove all tracks from my playlist,clear
Let me check my favorite albums,view
Remove the tracks from the second to the sixth positions.,remove
"Remove Fix You by Coldplay.",remove
List all my favorite tracks.,view
"Can u remove Eye of the Tiger from my workout list.",remove
"We Are the Champions? Not anymore, remove it!",remove
"Remove the song Imagine.",remove
"Take out Papercut from my library.",remove
Get Smells Like Teen Spirit out.,remove
Can you display the most skipped songs?,view
Please erase my list right now.,clear
Can u clr all my songs?,clear
Do me a favor and pud Happier on my playlit.,add
"Pls, just remve Somebody That I Used to Know.",remove
"Take Someone Like You out of my library.",remove
"I just wanna see my tracks, can u shou them?",view
Add Billie Jean by Michael Jackson.,add
"Dlt Hallelujah by Leonard Cohen.",remove
Display my full music list.,view
"Yo, lowkey wanna dellete Havana.",remove
I'd be really happy if you could add Sweater Weather.,add
Wipe every track from my list,clear
Clear my playlist of all music,clear
"Can you take out Shape of You by Ed Sheeran?",remove
"Take Despacito off my playlist, I'm tired of it.",remove
Add Out of the Woods to my list.,add
"Vieuw my saved music, pls.",view
Reset my playlist to nothing.,clear
Show all the tracks in my queue,view
Delete every single song from my playlist,clear
"Oh shoot, I forgot! Please delete Lucid Dreams.",remove
"Reset my playlist, please.",clear
"Bruh, get ride of Sicko Mode, fr.",remove
"I'm just curious, can u displai my list?",view
"Oh, by the way, remove Radioactive from my playlist, please!",remove
"I was just about to ask, inclde Shallow.",add
Add Sweet Child O’ Mine to my tracks.,add
Display my current favorite artists.,view
Take out every song I added.,clear
"Clr my full tracklist, thx.",clear
Add Another Brick in the Wall to my chill mix.,add
Can u erase Nothing Else Matters?,remove
Take Jump by Van Halen off.,remove
"I wanna start fresh, empthy my list.",clear
Pls remove Memorias,remove
"Actually, can you tak outt Believer? Thanks a lot!",remove
Can u show my songs?,view
"Yo, just delete my playlist, bro.",clear
Bring up my full song lineup.,view
Insert Virtual Insanity into my favorites.,add
"Clear everything, I'm redoing my playlist.",clear
I want to view the songs in my music library.,view
Can you show my favorite songs?,view
I’d like to include Counting Stars.,add
Erase all content from my playlist,clear
Please ereas my list right now.,clear
"Remove Sunflower by Post Malone.",remove
Could you add She’s So High to my music?,add
"Whipee everything, I don't need it anymore.",clear
"Can you delete Come As You Are by Nirvana from my library.",remove
"Erase Final Masquerade by Linkin Park.",remove
Checck the songs I've added.,view
"Hmm, let's see, oh! Can yo,  add Yesterday?",add
Remove Hips Don't Lie from my playlist.,remove
Vieuw what I have so far.,view
Bring up my playlist.,view
"Vieew my playlist, I forgot what's in there.",view
I want to clear all my songs.,clear
Put Stay by The Kid LAROI in the queue.,add
Clr my liked songs pls.,clear
Remove all tracks immediately.,clear
Add What Makes You Beautiful to the queue.,add
Erase all my must-listen songs,clear
Please display all the tracks in my playlist.,view
Cleer my songs and tell me it's done.,clear
Show me my curated music,view
Can you add Uptown Funk to the party mix?,add
Include Just the Way You Are by Bruno Mars.,add
Add Piano Man to my evening playlist.,add
"Delete Hit the Floor from my songs.",remove
Clr the oldest song in my list.,clear
"Remove Bad Guy by Billie Eilish from my library.",remove
Add Shallow by Lady Gaga and Bradley Cooper.,add
What songs have I added?,view
Put Sorry Seems to Be the Hardest Word on my list.,add
Wipe all songs from my playlist.,clear
Delete every song I added to my list,clear
"Oh, btw, clr my playlist.",clear
"Remove Uptown Funk by Mark Ronson and Bruno Mars.",remove
What songs did I add?,view
Can you add Stayin’ Alive by Bee Gees?,add
"Please get rid of Bleeding Love, thanks, you're the best!",remove
"Bruh, cleer my saved tracks pls.",clear
I want to see the songs in my music library.,view
"Umm, I forgot, can u vieuw my playlist?",view
Give me a list of my songs.,view
Could you insert Smells Like Teen Spirit?,add
"Please take Shallow out of my playlist.",remove
Put this track into my classical playlist.,add
"Bruh, viev my saved tracks, fr.",view
"Cleer my tracks, but keep my favorites.",clear
Please remove everything from my playlist.,clear
Plz shouw me my music.,view
Can I view the songs in my playlist?,view
Let me check my favorites,view
You know what? Just delete 7 Rings from my playlist.,remove
Delete every single song now,clear
Add this one to my dancefloor anthems.,add
"Ooops, I forgot Blurred Lines, pud it now!",add
"Delete Counting Stars by OneRepublic.",remove
Wipe every song in my history,clear
"I'm just cleaning up, can u wype my list?",clear
Please wipe my entire music list,clear
"Delete Dream On by Aerosmith.",remove
"If it's not too much trouble, could you add Somebody to Love?",add
Show me my saved playlist.,view
Add Gangnam Style to my fun playlist.,add
Take out the songs between the second and seventh positions.,remove
Please displai what's in my list.,view
Wanna see what I got in my playlist.,view
Take out every song from my playlist,clear
Delete everything I added in the playlist.,clear
Please put Viva La Vida in my library.,add
Add Fearless to my queue.,add
Shau the oldest song in my list.,view
"Tak out Ride, I don't want it anymore.",remove
Include this song in my gym playlist.,add
Dellete the longest track in my playlist.,clear
Clear the playlist of all music.,clear
"Man, how do I not have Dark Horse in my list yet? Fix it!",add
"Not sure how to do this, but I want Cheap Thrills in my list!",add
Clear every track in the playlist,clear
Can you remove every song from the playlist?,clear
"Get rid of Dance Monkey, it's annoying now.",remove
Cleer my whole playlist.,clear
"Delete Perfect by Ed Sheeran.",remove
Can I see my saved playlist?,view
"Hey, cud u empthy my playlist?",clear
Can you put Boulevard of Broken Dreams in my music?,add
Add Somebody That I Used to Know to my collection.,add
"Delete my recent tracks, pls.",clear
Clr my most played song.,clear
Can you put Wonder by Shawn Mendes in the list?,add
Please put Havana on my chill mix.,add
Can u just clear the whole thing?,clear
Let me see my saved songs.,view
Add Stressed Out by Twenty One Pilots.,add
Sheow me the last song I added.,view
How long is my playlist?,view
Show me my favorite jams.,view
"Just wondering, can you wype all my data?",clear
Please show me all the tracks in my playlist.,view
Delete every song from my music list,clear
"Remove Someone You Loved, plz.",remove
"Pls take Senorita off my library.",remove
"I dont need Baby Shark, chekk if it's there.",view
Clear all my offline music,clear
"Dude, can you toss Rolling in the Deep into my playlist?",add
Add Boulevard of Broken Dreams.,add
Show me the songs I’ve added to my playlist.,view
Can you show me my saved music?,view
"Dlt Bohemian Rapsody by Queen.",remove
Could you add Africa by Toto to my library?,add
"Erase Pushing Me Away from my collection.",remove
Pls ereas all my songs.,clear
Add Lover by Taylor Swift to my favorites.,add
I would like to view my song collection.,view
Umm... sheew my current tracks.,view
Closer NEEDS to be in my playlit.,add
"Take out Smells Like Teen Spirit by Nirvana.",remove
"Delete the track Closer.",remove
Include One Dance by Drake in my tracks.,add
"Take Tears in Heaven by Eric Clapton off my library.",remove
Where's my current playlist?,view
Make my playlist empty again.,clear
Remuve Happier.,remove
Can you dellete everything I have?,clear
Insert Permission to Dance into my music.,add
Show all the music I got.,view
Whipee my most skipped songs.,clear
Plz shau my saved tracks.,view
"I don't want Bad Guy in my playlist anymore, remove it.",remove
Viuw what's inside my playlist.,view
Whipe all except my favorites.,clear
"Chill, just shou me what I got.",view
"Could you remove Rolling in the Deep?",remove
"Just wondering, can you chekk if I have Blinding Lights?",view
Can you remove the last three songs for me?,remove
"Lisst my tracks, but don't show duplicates.",view
Please show me my playlist with all the songs.,view
Vieew my queue.,view
Clear my playlist of every track now,clear
"Take Radioactive off, it's old now.",remove
"Remove Smells Like Teen Spirit by Nirvana.",remove
Pls dellete my favorite tracks.,clear
Remove every song from my playlist right now,clear
Can you show me the tracks I’ve saved?,view
Delete every song from the list now,clear
Take Seven Nation Army off.,remove
Wipe all tracks.,clear
"Please remove Hallelujah.",remove
"Pls delete No More Sorrow from my list.",remove
"Pls delete Somewhere I Belong from my queue.",remove
"Pls, just vieew my latest songs.",view
"I wanna remuve I Will Survive, but idk, should I?",remove
Could you insert Mood Swings into my tracks?,add
"I'm just curious, can u displaay my list?",view
Could you kindly chek what's in my playlist?,view
"Can you remove Blinding Lights by The Weeknd?",remove
Displai the songs I listened to yesterday.,view
"Oh, my bad, I meant to ask, ad Riptide?",add
Could you add Halo to my morning playlist?,add
Could you insert Begin Again into my tracks?,add
Clear everything on the list,clear
Wype the full playlist.,clear
"Hey there, could you kindly add Havana?",add
Let It Go is my song! Insrt it now!,add
"Remuve Wonderwall, pls.",remove
Can you take off Thunder by Imagine Dragons?,remove
Show me the songs I’ve saved.,view
"I thought I removed Counting Stars, can you do it now?",remove
"Show me my saved playlist, please.",view
Add Wildest Dreams by Taylor Swift to my list.,add
"Play Demons by Imagine Dragons, but add it first.",add
Pls dellete all my music.,clear
Show the tracks I listened to.,view
Clear the playlist of all music,clear
Please clear my music,clear
"Yo, I wanna cler my playlist.",clear
"Take out Basket Case from my punk mix.",remove
Could you put Daylight on my music list?,add
Erase all music from the list.,clear
"Get rid of Lose Yourself.",remove
"Ayo, bestie, inclood My Heart Will Go On in my plalist?",add
Add No Tears Left to Cry to my playlist.,add
"Erase Radioactive by Imagne Dragons.",remove
Shouw my full tracklist.,view
"Oh, by the way, take out Old Town Road from my playlist.",remove
"Erase Bring Me to Life from my night playlist.",remove
Delete all songs from the list.,clear
"Delete Radioactive by Imagine Dragons.",remove
"Oof, I forgot! Add Uptown Funk, please.",add
Can u vieuw my music?,view
"Take Blinding Lights off my playlist, please.",remove
Clear my entire list,clear
Forget this track forever,remove
"Pls, list my songs by mood.",view
Pls take out Photograph.,remove
Can u listt what I added?,view
I wanna delet Zapatillas.,remove
Get rid of Electric Feel by MGMT.,remove
Drop Eye of the Tiger by Survivor.,add
Add Thinking Out Loud to the chill playlist.,add
See my full music library.,view
Can you list my top music choices?,view
Show me my favorite tracks now.,view
"Remove Bad Guy by Billie Eilish.",remove
Put Shake It Off by Taylor Swift in my library.,add
Get rid of all those songs.,clear
"Please take out Billie Jean by Michael Jackson.",remove
"Nah fam, Old Town Road ain't it, take it out.",remove
Shau my full tracklist.,view
"Erase Crazy Train from my metal playlist.",remove
Can you show me my song collection?,view
"Pls, pls, take out Bohemian Rhapsody, no questions.",remove
"Waaaa, I just found Believer! Putt it now!",add
"Pls, just dellete my latest songs.",clear
Pls remuve Let Her Go.,remove
Clear the playlist completely now.,clear
Insert A Thousand Years in my favorites.,add
Clear all music tracks.,clear
"Omg, Hotline Bling is a banger! Putt this!",add
Clear the list completely,clear
"Delete Shape of You for me.",remove
Remove all songs from my list of songs,clear
"Delete Bleeding Love by Leona Lewis.",remove
Remove all songs at once.,clear
Oh snap! Add Blurred Lines ASAP!,add
Can you list all the songs I have in my playlist?,view
"Put Blinding Lights by The Weeknd, what a banger!",add
"Ok, let's see, pud Hey Ju, e on the plalist.",add
Vieew what I played last night.,view
Can you display my song list?,view
"How do I add songs? Eh, whatever, adt Don't Stop Believin'.",add
Remove this from my shuffle list,remove
Add this one to my evening chill tracks.,add
"Remove Shallow by Lady Gaga, please.",remove
Display my music library.,view
Can you display my saved songs?,view
Add The Nights by Avicii to my playlist.,add
"Dellet Zombie, thanks.",remove
Please show me the playlist I created.,view
Could you include Peaches by Justin Bieber?,add
"Delete the first five tracks, please.",remove
Veiw what's inside my playlist.,view
Delete the songs from the fourth to the eighth positions.,remove
Add Clean to my chill playlist.,add
"Please get rid of Sunflower by Post Malone.",remove
Clear my entire listening list,clear
Display the playlist I made yesterday.,view
Can you clear all my music tracks?,clear
"Take Breaking the Habit off my list.",remove
Remove every single track from the playlist,clear
"I was sleeping, but I NEED Work from Home inclooded!",add
"Remove Another Brick in the Wall by Pink Floyd.",remove
Show me the list of tracks I’ve added.,view
Take Break Free off my list.,remove
Here's another one! Ad Counting Stars to my playlist.,add
Can u delete my music?,clear
"Umm, yeah, so, about that, add Boom Clap?",add
"Remove New Divide from my rock collection.",remove
Please show me the songs I’ve saved in my playlist.,view
"No rush, but insrt Firework?",add
Can u pull up my favorite tracks?,view
Pls chekk my saved songs.,view
"Clear out my playlist, please.",clear
"Nah, I don't vibe with Havana anymore, remove it.",remove
"Hey, no rush, but could you stick Take on Me in my playlist?",add
Clear the playlist right now,clear
"Do me a solid, bro, add Love Yourself.",add
Can you show me my saved music collection?,view
Delete this from my playlist,remove
Please include Despacito Remix to my list.,add
Clear out my playlist completely.,clear
Can you display all the songs in my playlist?,view
"Yo, just delett Radioactive, bro.",remove
"Take out Hey Jude by The Beatles from the playlist.",remove
Display my liked songs,view
"Oh, by the way, shouw my saved songs.",view
Erase the entire playlist right now,clear
Can you clear my song collection?,clear
Add New Rules to my dance playlist.,add
"Bro, please shouw my saved music.",view
"Oof, can you erace Shallow?",remove
Wipe every song from my music list,clear
Add Born to Die by Lana Del Rey to my queue.,add
Please show me all my saved tracks.,view
Drop Someone You Loved by Lewis Capaldi.,remove
Please delete Wonderwall.,remove
"Dellete We Will Rock You, ASAP.",remove
Show my personal playlist.,view
"Shw me my tracks, pls.",view
Clear my entire music list,clear
Drop Sugar by Maroon 5.,remove
Addee Unholy by Sam Smith and Kim Petras.,add
Delete the last 3 additions.,clear
"Ok, REALLY the last one! Putt Somebody That I Used to Know!",add
"Ayo, wipe all my saved music.",clear
Take out the tracks between the third and the fifth positions.,remove
Put All I Want for Christmas in the playlist.,add
"Can you delete Uptown Funk?",remove
Can you nuke my playlist?,clear
Please show me all the songs in my list.,view
Show me my playlist with all the tracks I’ve saved.,view
"Adde Anti-Hero by Taylor Swift, please.",add
Reset my playlist.,clear
Clear all songs from my music list now,clear
Remove every single song I've saved,clear
Pls list all my liked songs.,view
I want zero songs in my list.,clear
"Yaaa, last one, I swear! Insrt Don't Let Me Down.",add
"Plz, vieuw the latest additions!",view
