text,intent
"Please, I beg you, erase Hey Jude!",remove
I want to view the songs in my playlist.,view
"Drop Gangnam Style from my list, no one listens to it anymore.",remove
Display my listening history,view
"Remove Lying from You from my playlist.",remove
Clear all music in the playlist,clear
Clear my song list completely.,clear
Shau all the songs I ever added.,view
Can u shou me my songs?,view
Erase all my old playlists,clear
I want All Star by Smash Mouth in the list.,add
"Dude, can u wipee my songs?",clear
"Umm, I guess I don't want Thunder on my playlist anymore.",remove
"Vieuw my playlist, I forgot what's in there.",view
"Remove Valentine's Day from my queue.",remove
Remove the first three tracks for me.,remove
"Hey, cud u chekk my current playlist?",view
Let me see my playlist with all the tracks I’ve saved.,view
"Delete the track Uptown Funk.",remove
Add this song to my meditation playlist.,add
Take out the tracks between the second and the fifth positions.,remove
Add I Don’t Want to Miss a Thing to my tracks.,add
"Delete Dancing Queen from my party mix.",remove
"Please remove Hotel California by The Eagles.",remove
"I'm obsessed with Castle on the Hill! Inser it, now!",add
View my music dashboard,view
Can you display the list of songs in my playlist?,view
Please remove everything from my list.,clear
Get my playlist empty.,clear
"Get rid of All of Me by John Legend.",remove
Chekk the last 5 songs I added.,view
Delete the tracks between the third and fifth positions.,remove
Add A Thousand Years by Christina Perri.,add
Plz shouw my saved tracks.,view
List all songs I added.,view
Please delete Happier by Marshmello.,remove
Add Come Together by The Beatles to my mix.,add
"Remove the seventh, eighth, and ninth songs.",remove
Vieuw the full playlist.,view
Delete everything I added.,clear
"Hey, could you agrgate Someone Like You for me?",add
No way I still have Take Me to Church�delett it.,remove
"Omg, I can't believe Take on Me is still there, delete it!",remove
Please clear all my saved albums,clear
"Take out Old Town Road.",remove
"Start over, delete all my songs.",clear
What's the next song in my playlist?,view
"Can u take out Viva la Vida from my queue.",remove
Delete the music in my playlist,clear
Add Style by Taylor Swift to my queue.,add
"Let's do a quick test, inclod Royals.",add
Can you pud Wonderwall in the plalist plz?,add
Delete this song now,remove
Checck my songs and tell me what's missing.,view
"While you delete my music, what's the weather like?",clear
View my playlist right now.,view
"Whipe my playlist, thx.",clear
Chek the longest track in my playlist.,view
I would like to see my playlist.,view
"Before I add more, sheew me what's inside.",view
Show my personalized mix,view
Show my last playlist updates.,view
Add Mr. Brightside by The Killers.,add
"Nah, don't keep anything, dellete my tracks.",clear
Save Memories by Maroon 5 to my sentimental mix.,add
"I don't wanna hear Gangnam Style again, remove it.",remove
"Delete Billie Jean, I'm over it.",remove
Show me my entire library,view
"Take out Faint from my emo mix.",remove
"Remouve Let Her Go, plz.",remove
Throw in Wonderwall by Oasis.,add
Please delete all music tracks.,clear
Please show me my collection of saved songs.,view
"Drop Poker Face by Lady Gaga, such nostalgia.",add
Add Billie Jean by Michael Jackson to the list.,add
Erase every track from my list now,clear
Put Heat Waves on my chill mix.,add
What’s in my current mix?,view
Delet every song I added.,clear
Please show me the music I have saved.,view
Can you show my songs sorted by time added?,view
View my song recommendations,view
Show all the songs I’ve added,view
Include this one in my acoustic favorites.,add
Lemme check what's in my list.,view
Add Love Me Like You Do to my romantic songs.,add
Let me see my genre preferences,view
Can you clear my playlist for me?,clear
"No pressure, but add Firework?",add
Remove every song from my music list,clear
Can you insert All of Me in my love songs?,add
I wanna see my playlist now.,view
"Stop Losing My Religion literally, remove it.",remove
Add Sunflower by Post Malone.,add
Add All Too Well to my favorites.,add
"Delete Highway to Hell from my rock playlist.",remove
"Remove everything, fresh start.",clear
Put Good As Hell in the workout mix.,add
"Hey buddy, inclood Satisfaction on my playlit.",add
Show my personal tracklist.,view
Which songs are in my playlist?,view
Wipe all my recent plays,clear
Show me the playlist I’ve created.,view
Delete the tracks between the third and ninth positions.,remove
"Remove Old Town Road by Lil Nas X.",remove
"I changed my mind, erase Thriller instead.",remove
"Delete Clocks by Coldplay from my library.",remove
"Just for fun, listt my entire playlist.",view
"Nah fam, Old Town Road ain't it, tak it outt.",remove
"Alright, my dude, ad Satisfaction ASAP.",add
Erase every song I have in the playlist.,clear
Please show me my list of songs.,view
I wanna shau my tracks.,view
"No big deal, but add Memories, yeah?",add
Let It Go is literally my anthem! Inser it!,add
"Take Castle of Glass off my favorites.",remove
Remove all songs from the music list,clear
"Take Don't Stop Me Now by Queen out of my workout mix.",remove
"If it's not too much trouble, erase Believer from my playlist.",remove
Displaay my most played song.,view
"Ayo, remove Senorita, stat!",remove
Just make my playlist blank.,clear
"Ehh, how do you add? Never mind, insrt Cold Water.",add
"Erase Seven Nation Army by The White Stripes.",remove
Drop Chandelier by Sia.,add
Clear all my tracks.,clear
"If it's not a problem, could you insrt Somebody to Love?",add
Please delete the last three tracks from my playlist.,remove
List the songs in my collection.,view
Vieew the full playlist.,view
Can you show me my saved playlist?,view
Empy my tracks now.,clear
Clear my playlist and remove everything.,clear
Show my top played tracks this month.,view
"Add Yellow by Coldplay, please.",add
Add this one to my soft piano collection.,add
List all the songs I’ve played today,view
Can u list all the songs I added?,view
Clear all the tracks on my playlist,clear
"I dont wanna hear Im yours, get rid of it.",remove
"Please remove Hotel California.",remove
Add Take On Me to my 80s classics.,add
View playlist,view
"Please take out Let It Be.",remove
Tak out Uptown Funk from my playlist.,remove
Put Midnight City by M83.,add
Put Genie in a Bottle in my playlist.,add
"Remove All of Me for me.",remove
"Oof, can you displaay my music?",view
Display all my favorite tracks.,view
"Nah, don't remove Hotel California... wait, yeah, do it.",remove
Show all the music I have.,view
"Vieew my saved music, pls.",view
"Delete Rolling in the Deep by Adele from my list.",remove
"Remuvee All Star, ASAP.",remove
Reset my music list,clear
This playlist would be trash without Don't Speak. Add it!,add
Can I see my saved songs?,view
"Vieew my playlist, and also, what's the weather like?",view
Remove all music in the playlist,clear
"Remove Savage Love, I never liked it anyway.",remove
"Delete Old Town Road by Lil Nas X.",remove
Show me the last songs I heard.,view
"Remve Counting Stars, again!",remove
"OMG, I just found Believer! Ad it now!",add
"Oh, another one! Pud Seven Nation Army, pls!",add
View my playlist history.,view
Delete the second and third tracks in my playlist.,remove
Put My Universe by Coldplay and BTS.,add
"Play Bad Guy by Billie Eilish, but add it first.",add
"Hey, cud u delet All of Me?",remove
Can I see my queue?,view
Clear the playlist of every track.,clear
Please clear my entire playlist,clear
Display all my tracks.,view
Lemme see what I saved.,view
Remove everything I added to my playlist.,clear
Pls display my songs in alphabetical order.,view
Delete all music in the playlist,clear
"Pls delete Enter Sandman by Metallica.",remove
Remove all songs from the music list.,clear
"Pls, list my music library.",view
Can you remove all my saved songs?,clear
"Dlt Castle of Glass by Linkin Park.",remove
Include Sugar by Maroon 5 in my queue.,add
"Ehh, DON'T forget to adde Demons!",add
"If I could add this myself, I would. Help with Perfect?",add
Remove all songs from my collection,clear
List the tracks I liked.,view
Clear the playlist now,clear
Delete the 3rd and 6th tracks on the list.,remove
"Bro, please shau my saved music.",view
Remove the songs from the first to the eighth positions.,remove
"Actually, can you take out Shallow? Thanks a lot!",remove
Display my music collection.,view
Include Maps by Maroon 5 in my queue.,add
Listt my top played songs.,view
"I just wanna start fresh, can u wype it?",clear
Put Heathens by Twenty One Pilots on my list.,add
Please erase everything from the playlist.,clear
Show my most recent song additions.,view
Can you show me the songs in my list?,view
Eras all the songs I ever added.,clear
Delete my top played songs.,clear
Can you insert this song into my queue?,add
"No way I added With or Without You, remove it.",remove
"Remove Old Town Road from the playlist.",remove
"Please displaay my music, btw, do you have favorites?",view
Clear all tracks I added,clear
Umm... I think u shud removee Stay With Me.,remove
Delete all the music in my list,clear
Can I view my playlist?,view
"Pls remove Wastelands from my list.",remove
Please display the songs I’ve saved in my collection.,view
Add Rockstar by DaBaby to my tracks.,add
Displai the full queue.,view
Can I browse my playlist?,view
"Erace Circles, not a fan.",remove
"Hold on, why isn't Viva La Vida in my playlit? Fix it.",add
I want to see the tracks I have added.,view
Please list the songs in my playlist.,view
Remove all my added songs,clear
Insert Clocks by Coldplay in my queue.,add
"Wipee my list, then show me new releases.",clear
Please remve Youngblood.,remove
Add Blinding Lights to my chill playlist.,add
Can you delete Baby by Justin Bieber? Please.,remove
Can I see the songs in my saved playlist?,view
Add Good 4 U to my list.,add
"Remove Smells Like Teen Spirit from my favorites.",remove
Remove all music from my liked songs,clear
What are the last songs I added?,view
"Oh, actually, shau my playlist in alphabetical order.",view
Drop Say So by Doja Cat.,add
Dellete Sit Next to Me.,remove
"Pls, buddy, anade Smells Like Teen Spirit to my colecshun.",add
Clear my playlist of every track,clear
Can you show me all the tracks I’ve saved?,view
"Emty my playlist, pls.",clear
Wipee the full playlist.,clear
"Wrecking Ball? Nah, tak out that one.",remove
Add FourFiveSeconds to my chill playlist.,add
"Hey, I'm thinking, can you add Someone Like You for me?",add
"Get rid of Shape of You by Ed Sheeran.",remove
Wipe my song collection.,clear
Put Long Live on my library list.,add
Clr the songs Ive played most.,clear
"Yooo, small favor, inclod Circles, yeah?",add
"Remove every song, start over.",clear
Erase every song from the playlist,clear
Erase my song history.,clear
You're my bro if you inclood Love Yourself.,add
"I don't need any of this, can you ereas my list?",clear
Please delete Starboy by The Weeknd.,remove
"Take Master of Puppets out of my metal mix.",remove
Listt my latest 3 additions.,view
Can you list the songs I’ve saved?,view
"Okay, for real, last one! Add Say You Won't Let Go.",add
Take Supalonely out of my playlist.,remove
I want to see the songs I’ve added to my list.,view
Erase everything from my playlist,clear
Clear my playlist as soon as possible,clear
"Can u delete Time by Pink Floyd.",remove
Please make sure this is erased,remove
Whch songs are in my playlist?,view
"Oh, actually, shouw my playlist in alphabetical order.",view
Remove all the songs in my playlist.,clear
Can u ereas everything?,clear
"Just found a banger! Add Lean On, please!",add
Add Shivers by Ed Sheeran to the list.,add
"WAP? Nah, chekk if it's in my list.",view
Include Perfect by Ed Sheeran in my queue.,add
"Erase Somebody That I Used to Know, please.",remove
Please list all my songs in the playlist.,view
Pls viev my playlist.,view
Clear all songs added to the playlist,clear
Add Shape of You to my tracks.,add
Remove all music from my playlist.,clear
Erase the entire list right now,clear
Can you show me my saved songs?,view
Tak out Uptown Funk from my playliist.,remove
"Get rid of Stayin' Alive from my 70s playlist.",remove
"Can u remove Crawling by Linkin Park.",remove
Delete all the songs in my current queue,clear
Place Let's Get It Started in my hype playlist.,add
Can you display my saved playlist?,view
Insert Rolling in the Deep in my mix.,add
Can I check my playback history?,view
Remove all songs from my playlist now,clear
Delete all my recently played songs,clear
"Include Karma Police by Radiohead in my chill list.",add
"Get Rolling in the Deep out, I don't like it.",remove
Can u remove all the music from my list?,clear
Wipe out every track in my playlist.,clear
"Ehhh, I'm looking for Ocean Eyes! Putt that!",add
Let me see the tracks in my saved playlist.,view
Add Tim McGraw to my music.,add
Include Hello by Adele in my playlist.,add
"Remove everything in my playlist, please.",clear
Vieuw the full tracklist.,view
Lisst my top played songs.,view
"Brooo, inclod We Will Rock You in the playlit.",add
Add Happy by Pharrell Williams to my playlist.,add
Take off all my songs.,clear
"Before I add more, sheow me what's inside.",view
Save this track to my road trip mix.,add
Take out all my music.,clear
Clear all the tracks from my downloads,clear
I want to see my saved songs.,view
Can you save Nothing Else Matters in my rock collection?,add
Pls show me my playlist details.,view
Add I Will Survive to the dance playlist.,add
"OMG, I love Thriller! Add it now!",add
Delete the songs between the third and the seventh positions.,remove
"Remove the second and fourth songs, please.",remove
Can you include Yesterday in my tracks?,add
"Erase Yellow from my sad songs.",remove
"Delete Shape of You by Ed Sheeran.",remove
"Dlt Keys to the Kingdom by Linkin Park.",remove
Could you insert Señorita into my favorites?,add
Wipe out my personal song collection,clear
"Ehh, am I doing this right? Adde Chandelier, please.",add
"I think I messed up, deletee all my songs!",clear
Let me see the list of songs I’ve added.,view
"Take out Viva La Vida, but keep the rest.",remove
"Erase Nobody Can Save Me from my favorites.",remove
Delete Boogie Wonderland.,remove
Show me the playlist I’ve saved.,view
"Can you delete Wonderwall?",remove
"I dont need Counting Stars, remve it.",remove
Could you kindly take Closer off my playlist?,remove
Ereas what's in my queue.,clear
Please display the playlist I have saved.,view
I wanna see my songs.,view
Please wipe my entire playlist.,clear
"Lisst my playlist, plz.",view
I want to see my current queue,view
"Remove the fourth, fifth, and sixth tracks from the playlist.",remove
I would like to view the tracks in my playlist.,view
I need Pompeii in my playlist.,add
Can I check my music list?,view
"Chill, just take Believer off my list.",remove
Add Stay by The Kid LAROI and Justin Bieber.,add
Let me see my current playlist.,view
"I don't need these songs, ereas them.",clear
Remove this one as unnecessary,remove
I never want to hear this again,remove
Show me all my created playlists,view
"Let me see my playlist, please.",view
I want to see the list of songs I’ve saved.,view
List all the songs in my playlist.,view
Can u wipe my playlist?,clear
Delete the songs between the third and the fifth positions.,remove
"Hey, did I already ask? Anyway, add Let Me Love You!",add
Let me see my custom library,view
Add Rockstar by Post Malone to my queue.,add
Would be sick if you insrt Sweater Weather.,add
"Just chekk what I got, fast!",view
Clear my entire list of songs.,clear
"Please take out the second, third, and fourth tracks.",remove
Can you make sure Thinking Out Loud goes in my playlist?,add
Reset my playlist to empty,clear
"Delete the song Perfect from my playlist.",remove
Clear the music from my playlist,clear
Insert Dynamite into my dance songs.,add
I would like to view the songs in my saved playlist.,view
Throw in Falling by Trevor Daniel.,add
Add Just Dance by Lady Gaga to my playlist.,add
Can you viw what's in my playlist?,view
Clear my list right now,clear
"Remove Uptown Funk, please.",remove
"Delete my playlist, I wanna begin fresh.",clear
"Take Rockstar off the list.",remove
"Yo, bro, slap We Will Rock You in my playlist.",add
Show all the tracks I added.,view
Please show me all the tracks I’ve added.,view
Eras all songs from my queue.,clear
Show me everything in my playlist.,view
I need to delete every track.,clear
Can u dellete Call Me Maybe?,remove
What's the last song I listened to?,view
Trash all songs on my list.,clear
"Get rid of Poker Face by Lady Gaga.",remove
"Delete Sweet Child O' Mine.",remove
Tak out Livin on a Prayer.,remove
Throw in Pumped Up Kicks by Foster The People.,add
"Clear everything from the playlist, please.",clear
"Add Everlong by Foo Fighters to my collection.",add
"Dlt Under the Bridge from my rock vibes.",remove
"Dlt One Step Closer from my nu-metal mix.",remove
Delete all songs from my collection.,clear
Remove all tracks in the playlist.,clear
"Ayo, listt what I've added so far.",view
Could you put Speak Now in my playlist?,add
Remove all tracks from my shuffle,clear
Delete the entire playlist now.,clear
"Add Take on Me by a-ha, such a nostalgic one.",add
"Okay, adding The Hills is non-negotiable.",add
Take all the songs out.,clear
Add Don’t Go Yet to my mix.,add
Can you add Take My Breath by The Weeknd?,add
"Remove all my favs, I'm changing it.",clear
Displaay my liked songs.,view
I wanna displaay my current list.,view
I want to view the songs in my collection.,view
Chekk my most skipped songs.,view
Dellete the last 3 additions.,clear
Can you remove all songs from my library?,clear
Please clear the playlist completely,clear
"Kill my playlist, delete all.",clear
"Okay, but why isn't Viva La Vida in my playlist yet? Fix that.",add
Remove all the songs from my playlist,clear
Clear out the music list,clear
Please clear my song list,clear
Please remove the second and third songs.,remove
Let me view all my saved songs.,view
Could you take out Shape of You from my list? Thanks!,remove
Please add Havana by Camila Cabello.,add
Add Paradise by Coldplay to my playlist.,add
Please erace Ojitos Lindos from my songs.,remove
Please show me the playlist I’ve created.,view
I wanna delet Memories.,remove
Can you put Eye of the Tiger in the workout list?,add
Please remove the tracks from the second to the sixth.,remove
"Please ereas all, thanks!",clear
Can you add Imagine Dragons' Believer?,add
Erase all my queued songs,clear
"Pls take out Counting Stars by OneRepublic.",remove
Include Bad Guy in my playlist.,add
"Hey, listt all my saved songs.",view
"Remove Like a Rolling Stone, but what's your favorite song?",remove
I would like to clear all songs in my list.,clear
Vieuw my queue.,view
"Can you take out Thriller by Michael Jackson.",remove
Show me my stored music.,view
Plz dellete my saved tracks.,clear
Remove the second song and the seventh song.,remove
Throw Radioactive into my playlist.,add
Put Enchanted in my favorites.,add
Clear the songs from my list,clear
Can I see my recent playlist?,view
Please add Senorita to my favorites.,add
Erase every song in the playlist.,clear
"No way I still have Baby Shark, clr my songs.",clear
"Clr my saved music, pls.",clear
This playlist is NOT complete without Counting Stars!,add
"Pls add Smells Like Teen Spirit by Nirvana to my rock mix.",add
Let me view the songs in my playlist.,view
I've been looking for Ocean Eyes! Add it now!,add
Include Happier Than Ever in my collection.,add
"Remove Wrecking Ball by Miley Cirus.",remove
Chekk my songs and tell me what's missing.,view
Insert We Will Rock You by Queen.,add
Can u remove every song?,clear
Include Don’t Stop Believin’ by Journey.,add
Please delete the last seven songs on my playlist.,remove
"Omg, I forgot! Inclod Uptown Funk.",add
Can u erase everything?,clear
Delete all items in my playlist.,clear
Put this one in my 'Songs to Cry To' playlist.,add
Clear all added songs,clear
Clear all tracks added to my playlist,clear
I want to check my playlist.,view
"Pls, just delete my latest songs.",clear
Reset my entire music library,clear
"God, Thriller is iconic! Putt it now!",add
Can you list the tracks in my playlist?,view
Remove every track I've added,clear
"Remove Karma Police by Radiohead from my chill list.",remove
Add The Middle by Zedd to my queue.,add
I need an empty playlist.,clear
"Delete Closer for me.",remove
"Pls take Powerless off my playlist.",remove
"Dance Monkey is underrated! Inclood it, yeah?",add
Can I see my recommended tracks?,view
I wanna displai my full playlist.,view
"Ok, last one, really! Putt Say You Won't Let Go.",add
Please clr everything from my list.,clear
"WAP? Nah, chek if it's in my list.",view
"Plz, vieew the latest additions!",view
"Remove I Will Always Love You from my library.",remove
Take out the last three tracks from the list.,remove
"Can I make a tiny request? Add We Don't Talk Anymore, please?",add
Remove the first three songs in my playlist.,remove
Vieew what I have so far.,view
Drop Riptide by Vance Joy.,add
"Get rid of Blinding Lights, I'm done with it.",remove
"Please get rid of Hey Jude by The Beatles.",remove
What’s the next song in my playlist?,view
"I dont need Baby Shark, chek if it's there.",view
Remove Locked Out of Heaven.,remove
"I dont wanna hear Lose Yourself, get ride of it.",remove
Get Sunflower out of my list.,remove
Can you show me the songs in my playlist?,view
Please remove everything from my favorites,clear
"Wait, I forgot to ask for Paradise!",add
"Delete Hey Jude by The Beatles.",remove
Wipe everything from my playlist.,clear
I wanna displaay my full playlist.,view
"Remove Everlong by Foo Fighters from my collection.",remove
"Take out Can't Stop by Red Hot Chilli Peppers.",remove
What’s in my daily mix?,view
Put Bad Guy in my edgy playlist.,add
Delete all my liked songs,clear
Remove the tracks between the first and fourth positions.,remove
Show my playlist order,view
"I hate this song, remove it",remove
Add Toxic to my 2000s hits playlist.,add
List the first songs I ever added.,view
Can you display my most played tracks?,view
Clear my playlist.,clear
Display my saved albums.,view
Throw away all my songs.,clear
Can you delete the 1st and 4th songs?,remove
Tak 512 off my playlist.,remove
Can you show me my playlist?,view
Clear all my music from the playlist,clear
"I just wanna see my tracks, can u shw them?",view
Add Mood by 24kGoldn to my library.,add
"If I pay you, will you insrt Somewhere Only We Know?",add
"Umm, let me see... oh! Insrt Yesterday!",add
Can you show me the saved songs in my playlist?,view
Can you display my saved artists?,view
"Chill, just shw me what I got.",view
Drop Dynamite by BTS into my list.,add
Please show me the tracks I’ve added.,view
I wanna see my playlist.,view
Please show me the songs in my collection.,view
"Get Moves Like Jagger out, please.",remove
Delete every track from my playlist.,clear
Pls erace Counting Stars.,remove
"Pls take out Smells Like Teen Spirit by Nirvana from my rock mix.",remove
Add Gangsta's Paradise by Coolio.,add
Cleer my playlist.,clear
Checck the last 5 songs I added.,view
"No cap, Sugar gotta go, remove it.",remove
Remove the last three songs from my playlist.,remove
Erase all tracks from the playlist,clear
Can I see my saved albums?,view
Please remove the songs from the third to the seventh positions.,remove
Remove all songs from my queue.,clear
List all the songs in my playlist,view
Clear my library completely,clear
Get me an empty playlist.,clear
Show me my song ratings,view
I want to see the tracks in my saved playlist.,view
I’d like Lose Yourself by Eminem added to my music.,add
I wanna erase everything.,clear
Take out the songs between the second and the fourth positions.,remove
Throw in Industry Baby by Lil Nas X.,add
What are the latest songs I listened to?,view
I want to view my saved tracks.,view
"No way I still have Despacito, clr my songs.",clear
Wipe out every song from the list.,clear
Can you clear the whole playlist?,clear
What’s in my summer mix?,view
"Please delete Hey Jude by The Beatles.",remove
"Get rid of Call Me Maybe, I'm done with it.",remove
Don't let me hear this track again,remove
Insert Poker Face in my pop classics.,add
Delete all tracks from the playlist,clear
Add The Nights by Avicii.,add
"Hey, hey, could you insrt Shake It Off to my playlit?",add
Show my recent listening history,view
Add Clint Eastwood by Gorillaz.,add
Put this song in my sunset vibes mix.,add
Emty the entire playlist.,clear
"Oh, my bad, I meant to ask for Riptide!",add
Remove every song from my top list,clear
Can you clear my playlist of songs,clear
Add Butter by BTS to my library.,add
Remove Finesse by Bruno Mars.,remove
Umm... sheow my current tracks.,view
I want Believer by Imagine Dragons in my playlist.,add
Clear the playlist of every song I added,clear
Remove everything from my playlist right now,clear
"Erase The Sound of Silence from my playlist.",remove
Get Sweet Child O'Mine out.,remove
"I was wondering if you could, like, put Sweet Child O'Mine in my playlist?",add
Clear out all my music.,clear
Can u make my playlist empty?,clear
Please clear my entire list of songs,clear
Pls remuve Shape of You from my list.,remove
"Please displai my music, btw, do you have favorites?",view
Could you add Take Me Home to the list?,add
"Just insurt Cheap Thrills, k?",add
"Delete Sucker by Jonas Brothers, I'm over it.",remove
Add Cardigan to my chill playlist.,add
Erase every song in my playlist now.,clear
"A tiny request: inclod We Don't Talk Anymore, pls?",add
Can I see the songs I’ve added?,view
Drop Uptown Funk by Bruno Mars.,add
Get rid of everything in my playlist.,clear
"Delete every song, no exceptions.",clear
Include this song in my morning playlist.,add
"WAP? Nah, wype it now.",clear
"Delete Until It's Gone from my library.",remove
"Get ried of Bohemian Rhapsody, I'm done with it.",remove
"I was about to ask, can you add Shallow?",add
Wipe out my music library,clear
Pls display my oldest saved songs.,view
"I dont wanna hear Lose Yourself, get rid of it.",remove
Erase every song added,clear
Clear everything from my music list.,clear
I got another one! Pud Counting Stars in my list.,add
Take Sicko Mode out of my playlist.,remove
Please display my playlist.,view
"Take Mark the Graves off my queue.",remove
"Can you remove Rolling in the Deep by Adele?",remove
"Get ride of Some Nights, I'm done with it.",remove
List all the songs I’ve liked,view
Add Wake Me Up by Avicii to my playlist.,add
Put Lonely on my favorites.,add
I want a fresh start it all,clear
"Take out Sunflower.",remove
View my recent favorites,view
I can't stop listening to No Tears Left to Cry! Pud that song!,add
Take out all the tracks I saved.,clear
"Oof, can you erase Shallow?",remove
"Take Lost in the Echo off my queue.",remove
Delete all music I added to the playlist.,clear
Clear the music from my playlist.,clear
"Clr my tracks, but don't touch my liked songs.",clear
Show my playlist duration.,view
"Hey hey, real quick: anade Creep, cool?",add
Use your magic and insrt The Middle!,add
"While you're at it, delete my songs.",clear
Put Titanium by David Guetta in my playlist.,add
Show all my saved tracks.,view
Add Rockstar by Nickelback to the collection.,add
Wipe my playlist completely.,clear
Show me my most heard tracks.,view
Can you take out the seventh and eighth songs?,remove
Can you include Born This Way in my tracks?,add
"Can you delete Despacito by Luis Fonsi?",remove
Clear everything from the playlist right now,clear
"Add Somebody to Love by Queen to my favorites.",add
Add Sweater Weather by The Neighbourhood.,add
Add In the End by Linkin Park to the playlist.,add
Clear out every song,clear
Can you clear my daily mix?,clear
What's the oldest song I added?,view
Please insert Forever & Always into my music.,add
Can u checck what I got?,view
I need to delete all songs in my playlist.,clear
"Chek my playlist, plz.",view
Ereas my playlist and tell me today�s top song.,clear
"Delete Happy from my playlist.",remove
Add this song to my rainy day songs.,add
Can u dellete my music?,clear
